Id,y
10000,-66.00242349023047
10001,451.4065044011538
10002,-461.67641706029724
10003,40.5012087537255
10004,-126.74472245403899
10005,-342.5345518192526
10006,-396.55554211358924
10007,335.5412790790856
10008,-99.51242087062381
10009,304.8125398062745
10010,68.89453048978555
10011,412.3691954559106
10012,54.94237102476919
10013,-17.005550754781048
10014,-597.8499575722593
10015,443.5022887864132
10016,144.77448697804246
10017,-57.41116367253674
10018,134.38782757746282
10019,-108.9837759891091
10020,153.82482842506676
10021,611.7359836022036
10022,588.3896503384245
10023,-131.01679995802004
10024,-61.13562114122991
10025,-374.24849531697265
10026,74.15799307965649
10027,137.43837873610462
10028,420.0866117967899
10029,196.76562571344408
10030,268.4428498005343
10031,638.4749102511098
10032,127.37873138691722
10033,1.3491187583987159
10034,22.710453177405014
10035,342.23953452256524
10036,307.7039669741701
10037,348.13820870094037
10038,-168.6528613073563
10039,-20.221130904619926
10040,-551.7499275731105
10041,-429.97180406674033
10042,261.89195870674445
10043,389.8204261292201
10044,-96.1656222735674
10045,-210.7108012563255
10046,278.8818687840121
10047,-427.453301031049
10048,-172.90325291756835
10049,467.2643783557834
10050,-631.5587355874399
10051,-355.53165933817684
10052,143.17327553860432
10053,69.1992025989425
10054,275.588273976726
10055,-263.18861220410446
10056,167.49830723241337
10057,104.57789589014193
10058,230.07008661007666
10059,20.988026644577822
10060,-4.8225812625034985
10061,-201.922940810638
10062,560.0639265657704
10063,55.288476252449925
10064,671.3015746918329
10065,-493.7487382852288
10066,-279.35303673259256
10067,-53.712527613147394
10068,379.6981955009775
10069,315.0714108579832
10070,169.1300173261415
10071,-271.5993032690098
10072,783.8022226750335
10073,44.57731151554852
10074,57.40678005457969
10075,-161.07827414306854
10076,-220.66957847885806
10077,223.24129442929222
10078,352.6655955437567
10079,13.163291366264891
10080,-461.9941469857308
10081,305.3721466914246
10082,-230.59656173860878
10083,359.0744432425432
10084,-430.26056337592007
10085,-115.54882205546384
10086,-88.96006387867313
10087,-488.29018980804176
10088,-139.3503385471359
10089,57.33880810852552
10090,-190.33624272166435
10091,-6.508092914825974
10092,189.29107774701725
10093,346.60367818565453
10094,871.6273206485913
10095,-147.01353738653842
10096,443.4899377794309
10097,-30.498432974438025
10098,185.46345753445826
10099,-119.91717151732843
10100,43.57523800180892
10101,58.3185715522443
10102,-197.15246829839947
10103,-70.47160678841232
10104,-342.84605328866724
10105,-29.233589873716834
10106,49.52292929610339
10107,-16.246144137912218
10108,33.77506926160566
10109,-68.8830774832424
10110,25.863399493694267
10111,-617.314284271696
10112,-185.9044130119492
10113,323.7831061093871
10114,-35.662195722125965
10115,-733.5297711613841
10116,-240.7385626473605
10117,-381.9731466242485
10118,75.31994462169475
10119,36.610326459113914
10120,-28.756270225024917
10121,-481.1606279685909
10122,408.8502304229879
10123,-765.0217471991634
10124,178.07269651637216
10125,-7.649879385672187
10126,134.7968462337597
10127,-477.4585142128684
10128,-248.7062530132367
10129,-361.88465722386275
10130,-18.75561174855448
10131,7.79560437443467
10132,-109.10598972538433
10133,-63.07374524219413
10134,591.8231837349172
10135,259.61263369662913
10136,-279.8658320087669
10137,93.22535940051905
10138,-427.2873154191354
10139,84.3865663308981
10140,-311.54463064415694
10141,11.419268612559469
10142,-297.8314684235847
10143,-331.92897096864306
10144,656.0132305257306
10145,-476.6626813650555
10146,361.19404513377316
10147,-150.18526861192314
10148,299.94671902432464
10149,-191.7214321927056
10150,151.94999511612198
10151,-64.6727578157669
10152,351.2448616306334
10153,-370.63644575627325
10154,349.2249817861124
10155,273.5246096168012
10156,783.1971843196867
10157,-124.23788973573991
10158,-155.22004432990795
